fieldsample_barcode	sampling_method	cell.10km_representative	extraction_method	extraction_id1	extraction_id2	extractionplate_id1	extractionplate_id2	extraction_row1	extraction_row2	extraction_col1	extraction_col2	extraction_conc1	extraction_conc2	library_method	library_id1	library_id2	libraryplate_id1	libraryplate_id2	library_row1	library_row2	library_col1	library_col2	library_conc1	library_conc2	sequencing_method	sequencing_id1	sequencing_id2	internal_name	before_total_reads	after_total_reads	passed_filter_reads	corrected_reads	low_quality_reads	too_many_N_reads	too_short_reads	too_long_reads	before_total_bases	before_q20_bases	before_q30_bases	after_total_bases	after_q20_bases	after_q30_bases	corrected_bases	before_read1_mean_length	before_read2_mean_length	after_read1_mean_length	after_read2_mean_length	before_q20_rate	before_q30_rate	after_q20_rate	after_q30_rate	duplication_rate	before_gc_content	after_gc_content	peak_length
MFD10867	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ372-F4		EXT00117		F		4		19.24		ILLUMINA-DNA-PREP.V2	LIB-MJ383-F4		LIB00117		F		4		0.41		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ383-F4_01		LIB-MJ383-F4_01.fastq.gz	51633008	37075934	37906334	851917	1677374	88	12049212	0	7796584208	7412184901	6908591109	5469310207	5361633466	5096207118	1058978	151	151	147	147	1	0.9	1	0.9	0	0.6	0.6	151
MFD10928	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ373-D3		EXT00118		D		3		11.26		ILLUMINA-DNA-PREP.V2	LIB-MJ384-D3		LIB00118		D		3		0.22		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-D3_01		LIB-MJ384-D3_01.fastq.gz	31651584	19980574	20720062	1336746	1287644	10	9643868	0	4779389184	4495752438	4157119726	2898790746	2837164502	2686740286	1730032	151	151	144	145	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10922	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ374-G9		EXT00119		G		9		55.49		ILLUMINA-DNA-PREP.V2	LIB-MJ385-G9		LIB00119		G		9		0.56		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ385-G9_04		LIB-MJ385-G9_04.fastq.gz	43412328	30287426	30941516	582236	2229964	248	10240600	0	6555261528	6185161813	5690611335	4484449954	4376906596	4120962106	715652	151	151	148	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10823	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ370-E9		EXT00115		E		9		25.83		ILLUMINA-DNA-PREP.V2	LIB-MJ381-E9		LIB00115		E		9		0.27		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ381-E9_02		LIB-MJ381-E9_02.fastq.gz	31149884	21870928	22460668	747637	1002456	12	7686748	0	4703632484	4481129218	4171832316	3208003775	3144306243	2984252763	915155	151	151	146	146	1	0.9	1	0.9	0	0.6	0.6	151
MFD10755	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ373-C1		EXT00118		C		1		52.58		ILLUMINA-DNA-PREP.V2	LIB-MJ384-C1		LIB00118		C		1		0.89		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-C1_01		LIB-MJ384-C1_01.fastq.gz	26808264	17407438	17789878	936695	1255432	6	7762948	0	4048047864	3792262072	3476604596	2558531966	2492402006	2339260215	1236686	151	151	146	147	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10882	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ371-D1		EXT00116		D		1		29.92		ILLUMINA-DNA-PREP.V2	LIB-MJ382-D1		LIB00116		D		1		0.56		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ382-D1_02		LIB-MJ382-D1_02.fastq.gz	34742748	23997272	24429166	572471	1467892	70	8845620	0	5246154948	4957445438	4597860003	3533160895	3459355255	3278619098	689789	151	151	147	146	0.9	0.9	1	0.9	0	0.6	0.6	151
MFD10778	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ372-A4		EXT00117		A		4		73.82		ILLUMINA-DNA-PREP.V2	LIB-MJ383-A4		LIB00117		A		4		0.01		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ383-A4_01		LIB-MJ383-A4_01.fastq.gz	68	50	50	2	2	0	16	0	10268	9715	9038	6900	6766	6399	3	151	151	138	138	0.9	0.9	1	0.9	0	0.6	0.6	101
MFD10845	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ374-D7		EXT00119		D		7		41.36		ILLUMINA-DNA-PREP.V2	LIB-MJ385-D7		LIB00119		D		7		0.01		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ385-D7_04		LIB-MJ385-D7_04.fastq.gz	168	38	38	6	6	0	124	0	25368	23032	21197	5306	5225	5043	6	151	151	139	139	0.9	0.8	1	1	0	0.7	0.6	0
MFD10795	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ369-F5		EXT00114		F		5		31.72		ILLUMINA-DNA-PREP.V2	LIB-MJ380-F5		LIB00114		F		5		0.4		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ380-F5_03		LIB-MJ380-F5_03.fastq.gz	41867178	31306212	32417612	734690	1323434	58	8126074	0	6321943878	6013893848	5586304435	4641296425	4542442373	4299245034	926174	151	151	148	148	1	0.9	1	0.9	0	0.6	0.6	151
MFD10851	MFD-SOIL	No	PowerSoil-Pro-HT	EXT-MJ373-C2		EXT00118		C		2		23.23		ILLUMINA-DNA-PREP.V2	LIB-MJ384-C2		LIB00118		C		2		0.34		Illumina NovaSeq 6000, 2 × 150 bp	LIB-MJ384-C2_01		LIB-MJ384-C2_01.fastq.gz	21066688	13254422	13539060	670415	1121718	6	6405904	0	3181069888	2966879680	2710802875	1944501999	1892866429	1774975167	875050	151	151	146	146	0.9	0.9	1	0.9	0	0.6	0.6	151
