fieldsample_barcode,extraction_id,original_extraction_id,extractionplate_id,extraction_row,extraction_col,extraction_conc,extraction_method,library_id,libraryplate_id,library_row,library_conc,library_method,seq_id
MFD00356,EXT-MJ037-A5,EXT-MJ037-A5,EXT00002,A,5,5.53,PowerSoil-Pro-HT,LIB-MJ051-A5,LIB00002,A,1.7255,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A5_02
MFD00318,EXT-MJ037-A6,EXT-MJ037-A6,EXT00002,A,6,4.68,PowerSoil-Pro-HT,LIB-MJ051-A6,LIB00002,A,1.06184,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A6_02
MFD00469,EXT-MJ037-A7,EXT-MJ037-A7,EXT00002,A,7,5.23,PowerSoil-Pro-HT,LIB-MJ051-A7,LIB00002,A,1.70975,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A7_02
MFD00263,EXT-MJ037-A8,EXT-MJ037-A8,EXT00002,A,8,9.43,PowerSoil-Pro-HT,LIB-MJ051-A8,LIB00002,A,1.79299,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A8_02
MFD00283,EXT-MJ037-A9,EXT-MJ037-A9,EXT00002,A,9,13.4,PowerSoil-Pro-HT,LIB-MJ051-A9,LIB00002,A,1.96171,ILLUMINA-DNA-PREP.V1,LIB-MJ051-A9_02
MFD00422,EXT-MJ037-B1,EXT-MJ037-B1,EXT00002,B,1,16.57,PowerSoil-Pro-HT,LIB-MJ051-B1,LIB00002,B,2.08769,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B1_02
MFD00471,EXT-MJ037-B10,EXT-MJ037-B10,EXT00002,B,10,0.79,PowerSoil-Pro-HT,LIB-MJ051-B10,LIB00002,B,1.35205,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B10_02
MFD00523,EXT-MJ037-B11,EXT-MJ037-B11,EXT00002,B,11,15.46,PowerSoil-Pro-HT,LIB-MJ051-B11,LIB00002,B,1.98646,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B11_02
MFD00089,EXT-MJ037-B12,EXT-MJ037-B12,EXT00002,B,12,1,PowerSoil-Pro-HT,LIB-MJ051-B12,LIB00002,B,0.58041,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B12_02
MFD00482,EXT-MJ037-B2,EXT-MJ037-B2,EXT00002,B,2,27.96,PowerSoil-Pro-HT,LIB-MJ051-B2,LIB00002,B,3.32726,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B2_02
MFD00429,EXT-MJ037-B3,EXT-MJ037-B3,EXT00002,B,3,34.82,PowerSoil-Pro-HT,LIB-MJ051-B3,LIB00002,B,3.83793,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B3_02
MFD00547,EXT-MJ037-B4,EXT-MJ037-B4,EXT00002,B,4,47.13,PowerSoil-Pro-HT,LIB-MJ051-B4,LIB00002,B,4.32611,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B4_02
MFD00302,EXT-MJ037-B5,EXT-MJ037-B5,EXT00002,B,5,5.39,PowerSoil-Pro-HT,LIB-MJ051-B5,LIB00002,B,0.88412,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B5_02
MFD00478,EXT-MJ037-B6,EXT-MJ037-B6,EXT00002,B,6,49.75,PowerSoil-Pro-HT,LIB-MJ051-B6,LIB00002,B,5.29797,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B6_02
MFD00367,EXT-MJ037-B7,EXT-MJ037-B7,EXT00002,B,7,0.61,PowerSoil-Pro-HT,LIB-MJ051-B7,LIB00002,B,0.89312,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B7_02
MFD00388,EXT-MJ037-B8,EXT-MJ037-B8,EXT00002,B,8,21.31,PowerSoil-Pro-HT,LIB-MJ051-B8,LIB00002,B,2.94932,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B8_02
MFD00544,EXT-MJ037-B9,EXT-MJ037-B9,EXT00002,B,9,29.86,PowerSoil-Pro-HT,LIB-MJ051-B9,LIB00002,B,1.26206,ILLUMINA-DNA-PREP.V1,LIB-MJ051-B9_02
MFD00501,EXT-MJ037-C1,EXT-MJ037-C1,EXT00002,C,1,5.73,PowerSoil-Pro-HT,LIB-MJ051-C1,LIB00002,C,1.79973,ILLUMINA-DNA-PREP.V1,LIB-MJ051-C1_02
MFD00328,EXT-MJ037-C11,EXT-MJ037-C11,EXT00002,C,11,1.21,PowerSoil-Pro-HT,LIB-MJ051-C11,LIB00002,C,0.50168,ILLUMINA-DNA-PREP.V1,LIB-MJ051-C11_02
MFD00015,EXT-MJ037-C12,EXT-MJ037-C12,EXT00002,C,12,0.35,PowerSoil-Pro-HT,LIB-MJ051-C12,LIB00002,C,0.44093,ILLUMINA-DNA-PREP.V1,LIB-MJ051-C12_02
MFD00365,EXT-MJ037-C2,EXT-MJ037-C2,EXT00002,C,2,21.13,PowerSoil-Pro-HT,LIB-MJ051-C2,LIB00002,C,3.77494,ILLUMINA-DNA-PREP.V1,LIB-MJ051-C2_02
MFD00432,EXT-MJ037-C4,EXT-MJ037-C4,EXT00002,C,4,5.04,PowerSoil-Pro-HT,LIB-MJ051-C4,LIB00002,C,2.21817,ILLUMINA-DNA-PREP.V1,LIB-MJ051-C4_02
MFD00063,EXT-MJ037-C5,EXT-MJ037-C5,EXT00002,C,5,32.77,PowerSoil-Pro-HT,LIB-MJ051-C5,LIB00002,C,4.23163,ILLUMINA-DNA-PREP.V1,LIB-MJ051-C5_02
