fieldsample_barcode	BioProject	BioSample	Metagenome	Metagenome_assembly	EUK_operon	BAC_operon	UMI_16SrRNA
MFD08910	PRJNA1071982	SAMN39872970	SRX23709951	MFD08910.fa			
MFD08911	PRJNA1071982	SAMN39872971	SRX23709952	MFD08911.fa			
MFD08912	PRJNA1071982	SAMN39872972	SRX23709953	MFD08912.fa			
MFD08913	PRJNA1071982	SAMN39872973	SRX23709954	MFD08913.fa			
MFD08914	PRJNA1071982	SAMN39872974	SRX23709955	MFD08914.fa			
MFD08915	PRJNA1071982	SAMN39872975	SRX23709956	MFD08915.fa			
MFD08916	PRJNA1071982	SAMN39872976	SRX23709957	MFD08916.fa			
MFD08917	PRJNA1071982	SAMN39872977	SRX23709958	MFD08917.fa			
MFD08918	PRJNA1071982	SAMN39872978	SRX23709959	MFD08918.fa			
MFD08919	PRJNA1071982	SAMN39872979	SRX23709962	MFD08919.fa			
MFD08920	PRJNA1071982	SAMN39872980	SRX23709963	MFD08920.fa			
MFD08921	PRJNA1071982	SAMN39872981	SRX23709864	MFD08921.fa			
MFD08922	PRJNA1071982	SAMN39872982	SRX23709865	MFD08922.fa			
MFD08923	PRJNA1071982	SAMN39872983	SRX23709866	MFD08923.fa			
MFD08924	PRJNA1071982	SAMN39872984	SRX23709867	MFD08924.fa			
MFD08925	PRJNA1071982	SAMN39872985	SRX23709868	MFD08925.fa			
MFD08926	PRJNA1071982	SAMN39872986	SRX23709869	MFD08926.fa			
MFD08927	PRJNA1071982	SAMN39872987	SRX23709870	MFD08927.fa			
MFD08928	PRJNA1071982	SAMN39872988	SRX23709871	MFD08928.fa			
MFD08929	PRJNA1071982	SAMN39872989	SRX23709873	MFD08929.fa			
MFD08930	PRJNA1071982	SAMN39872990	SRX23709874	MFD08930.fa			
MFD08931	PRJNA1071982	SAMN39872991	SRX23709875	MFD08931.fa			
MFD08932	PRJNA1071982	SAMN39872992	SRX23709876	MFD08932.fa			
MFD08933	PRJNA1071982	SAMN39872993	SRX23709877	MFD08933.fa			
MFD08934	PRJNA1071982	SAMN39872994	SRX23709878	MFD08934.fa			
MFD08935	PRJNA1071982	SAMN39872995	SRX23709879	MFD08935.fa			
MFD08936	PRJNA1071982	SAMN39872996	SRX23709880	MFD08936.fa			
MFD08937	PRJNA1071982	SAMN39872997	SRX23709881	MFD08937.fa			
MFD08938	PRJNA1071982	SAMN39872998	SRX23709882	MFD08938.fa			
MFD08939	PRJNA1071982	SAMN39872999	SRX23709884	MFD08939.fa			
MFD08940	PRJNA1071982	SAMN39873000	SRX23709885	MFD08940.fa			
MFD08941	PRJNA1071982	SAMN39873001	SRX23709886	MFD08941.fa			
MFD08942	PRJNA1071982	SAMN39873002	SRX23709887	MFD08942.fa			
MFD08943	PRJNA1071982	SAMN39873003	SRX23709888	MFD08943.fa			
MFD08944	PRJNA1071982	SAMN39873004	SRX23709889	MFD08944.fa			
MFD08945	PRJNA1071982	SAMN39873005	SRX23709890	MFD08945.fa			
MFD08946	PRJNA1071982	SAMN39873006	SRX23709891	MFD08946.fa			
MFD08947	PRJNA1071982	SAMN39873007	SRX23709226	MFD08947.fa	SRX23628061	SRX23628060	SRX23662512
MFD08948	PRJNA1071982	SAMN39873008	SRX23709227	MFD08948.fa			
MFD08949	PRJNA1071982	SAMN39873009	SRX23709229	MFD08949.fa			
MFD08950	PRJNA1071982	SAMN39873010	SRX23709230	MFD08950.fa			
MFD08951	PRJNA1071982	SAMN39873011	SRX23709231	MFD08951.fa			
MFD08952	PRJNA1071982	SAMN39873012	SRX23709232	MFD08952.fa			
MFD08953	PRJNA1071982	SAMN39873013	SRX23709233	MFD08953.fa			
MFD08954	PRJNA1071982	SAMN39873014	SRX23709234	MFD08954.fa			
MFD08955	PRJNA1071982	SAMN39873015	SRX23709235	MFD08955.fa			
MFD08956	PRJNA1071982	SAMN39873016	SRX23709236	MFD08956.fa			
MFD08957	PRJNA1071982	SAMN39873017	SRX23709237	MFD08957.fa			
MFD08958	PRJNA1071982	SAMN39873018	SRX23709238	MFD08958.fa			
MFD08959	PRJNA1071982	SAMN39873019	SRX23709240	MFD08959.fa			
MFD08960	PRJNA1071982	SAMN39873020	SRX23709241	MFD08960.fa			
MFD08961	PRJNA1071982	SAMN39873021	SRX23709242	MFD08961.fa			
MFD08962	PRJNA1071982	SAMN39873022	SRX23709243	MFD08962.fa			
MFD08963	PRJNA1071982	SAMN39873023	SRX23709244	MFD08963.fa			
MFD08964	PRJNA1071982	SAMN39873024	SRX23709245	MFD08964.fa			
MFD08965	PRJNA1071982	SAMN39873025	SRX23709246	MFD08965.fa			
MFD08966	PRJNA1071982	SAMN39873026	SRX23709247	MFD08966.fa			
MFD08967	PRJNA1071982	SAMN39873027	SRX23709248	MFD08967.fa			
MFD08968	PRJNA1071982	SAMN39873028	SRX23709249	MFD08968.fa			
MFD08969	PRJNA1071982	SAMN39873029	SRX23709251	MFD08969.fa			
MFD08970	PRJNA1071982	SAMN39873030	SRX23709252	MFD08970.fa			
MFD08971	PRJNA1071982	SAMN39873031	SRX23709253	MFD08971.fa			
MFD08972	PRJNA1071982	SAMN39873032	SRX23709471	MFD08972.fa			
MFD08973	PRJNA1071982	SAMN39873033	SRX23709472	MFD08973.fa			
MFD08974	PRJNA1071982	SAMN39873034	SRX23709473	MFD08974.fa			
MFD08975	PRJNA1071982	SAMN39873035	SRX23709474	MFD08975.fa			
MFD08976	PRJNA1071982	SAMN39873036	SRX23709475	MFD08976.fa			
MFD08977	PRJNA1071982	SAMN39873037	SRX23709476	MFD08977.fa			
MFD08978	PRJNA1071982	SAMN39873038	SRX23709477	MFD08978.fa			
MFD08979	PRJNA1071982	SAMN39873039	SRX23709479	MFD08979.fa			
MFD08980	PRJNA1071982	SAMN39873040	SRX23709480	MFD08980.fa			
MFD08981	PRJNA1071982	SAMN39873041	SRX23709481	MFD08981.fa			
MFD08982	PRJNA1071982	SAMN39873042	SRX23709482	MFD08982.fa			
MFD08983	PRJNA1071982	SAMN39873043	SRX23709483	MFD08983.fa			
MFD08984	PRJNA1071982	SAMN39873044	SRX23709484	MFD08984.fa			
MFD08985	PRJNA1071982	SAMN39873045	SRX23709485	MFD08985.fa			
MFD08986	PRJNA1071982	SAMN39873046	SRX23709486	MFD08986.fa			
MFD08987	PRJNA1071982	SAMN39873047	SRX23709487	MFD08987.fa			
MFD08988	PRJNA1071982	SAMN39873048	SRX23709488	MFD08988.fa			
MFD08989	PRJNA1071982	SAMN39873049	SRX23709490	MFD08989.fa			
MFD08990	PRJNA1071982	SAMN39873050	SRX23709491	MFD08990.fa			
MFD08991	PRJNA1071982	SAMN39873051	SRX23709492	MFD08991.fa			
MFD08992	PRJNA1071982	SAMN39873052	SRX23709493	MFD08992.fa			
MFD08993	PRJNA1071982	SAMN39873053	SRX23709494	MFD08993.fa			
MFD08994	PRJNA1071982	SAMN39873054	SRX23709495	MFD08994.fa			
MFD08995	PRJNA1071982	SAMN39873055	SRX23709496	MFD08995.fa			
MFD08996	PRJNA1071982	SAMN39873056	SRX23709497	MFD08996.fa			
MFD08997	PRJNA1071982	SAMN39873057	SRX23709498	MFD08997.fa			
MFD08998	PRJNA1071982	SAMN39873058	SRX23709964	MFD08998.fa			
MFD08999	PRJNA1071982	SAMN39873059	SRX23709966	MFD08999.fa			
MFD09000	PRJNA1071982	SAMN39873060	SRX23709967	MFD09000.fa			
MFD09001	PRJNA1071982	SAMN39873061	SRX23709968	MFD09001.fa			
MFD09002	PRJNA1071982	SAMN39873062	SRX23709969	MFD09002.fa			
MFD09003	PRJNA1071982	SAMN39873063	SRX23709970	MFD09003.fa			
MFD09004	PRJNA1071982	SAMN39873064	SRX23709971	MFD09004.fa			
MFD09005	PRJNA1071982	SAMN39873065	SRX23709972	MFD09005.fa			
MFD09006	PRJNA1071982	SAMN39873066	SRX23709973	MFD09006.fa			
MFD09007	PRJNA1071982	SAMN39873067	SRX23709974	MFD09007.fa			
MFD09008	PRJNA1071982	SAMN39873068	SRX23709975	MFD09008.fa			
MFD09009	PRJNA1071982	SAMN39873069	SRX23709977	MFD09009.fa			
MFD09010	PRJNA1071982	SAMN39873070	SRX23709978	MFD09010.fa			
MFD09011	PRJNA1071982	SAMN39873071	SRX23709979	MFD09011.fa			
MFD09012	PRJNA1071982	SAMN39873072	SRX23709980	MFD09012.fa			
MFD09014	PRJNA1071982	SAMN39873073	SRX23709981	MFD09014.fa			
MFD09015	PRJNA1071982	SAMN39873074	SRX23709982	MFD09015.fa			
MFD09016	PRJNA1071982	SAMN39873075	SRX23709983	MFD09016.fa			
MFD09017	PRJNA1071982	SAMN39873076	SRX23709984	MFD09017.fa			
MFD09018	PRJNA1071982	SAMN39873077	SRX23709985	MFD09018.fa			
MFD09019	PRJNA1071982	SAMN39873078	SRX23709986	MFD09019.fa			
MFD09020	PRJNA1071982	SAMN39873079	SRX23709989	MFD09020.fa			
MFD09021	PRJNA1071982	SAMN39873080	SRX23709990	MFD09021.fa			
MFD09022	PRJNA1071982	SAMN39873081	SRX23709991	MFD09022.fa			
MFD09023	PRJNA1071982	SAMN39873082	SRX23709892	MFD09023.fa			
MFD09024	PRJNA1071982	SAMN39873083	SRX23709893	MFD09024.fa			
MFD09025	PRJNA1071982	SAMN39873084	SRX23709894	MFD09025.fa			
MFD09026	PRJNA1071982	SAMN39873085	SRX23709895	MFD09026.fa			
MFD09027	PRJNA1071982	SAMN39873086	SRX23709896	MFD09027.fa			
MFD09028	PRJNA1071982	SAMN39873087	SRX23709897	MFD09028.fa			
MFD09029	PRJNA1071982	SAMN39873088	SRX23709898	MFD09029.fa			
MFD09030	PRJNA1071982	SAMN39873089	SRX23709900	MFD09030.fa			
MFD09031	PRJNA1071982	SAMN39873090	SRX23709901	MFD09031.fa			
MFD09032	PRJNA1071982	SAMN39873091	SRX23709902	MFD09032.fa			
MFD09033	PRJNA1071982	SAMN39873092	SRX23709903	MFD09033.fa			
MFD09034	PRJNA1071982	SAMN39873093	SRX23709904	MFD09034.fa			
MFD09035	PRJNA1071982	SAMN39873094	SRX23709905	MFD09035.fa			
MFD09036	PRJNA1071982	SAMN39873095	SRX23709906	MFD09036.fa			
MFD09037	PRJNA1071982	SAMN39873096	SRX23709907	MFD09037.fa			
MFD09038	PRJNA1071982	SAMN39873097	SRX23709908	MFD09038.fa			
MFD09039	PRJNA1071982	SAMN39873098	SRX23709909	MFD09039.fa			
MFD09040	PRJNA1071982	SAMN39873099	SRX23709911	MFD09040.fa			
MFD09041	PRJNA1071982	SAMN39873100	SRX23709912	MFD09041.fa	SRX23628063	SRX23628062	SRX23662513
MFD09042	PRJNA1071982	SAMN39873101	SRX23709913	MFD09042.fa			
MFD09043	PRJNA1071982	SAMN39873102	SRX23709914	MFD09043.fa			
MFD09044	PRJNA1071982	SAMN39873103	SRX23709915	MFD09044.fa			
MFD09045	PRJNA1071982	SAMN39873104	SRX23709916	MFD09045.fa			
MFD09046	PRJNA1071982	SAMN39873105	SRX23709917	MFD09046.fa			
MFD09047	PRJNA1071982	SAMN39873106	SRX23709918	MFD09047.fa			
MFD09048	PRJNA1071982	SAMN39873107	SRX23709919	MFD09048.fa			
MFD09049	PRJNA1071982	SAMN39873108	SRX23709254	MFD09049.fa			
MFD09050	PRJNA1071982	SAMN39873109	SRX23709256	MFD09050.fa			
MFD09051	PRJNA1071982	SAMN39873110	SRX23709257	MFD09051.fa			
MFD09052	PRJNA1071982	SAMN39873111	SRX23709258	MFD09052.fa			
MFD09053	PRJNA1071982	SAMN39873112	SRX23709259	MFD09053.fa			
MFD09054	PRJNA1071982	SAMN39873113	SRX23709260	MFD09054.fa			
MFD09055	PRJNA1071982	SAMN39873114	SRX23709261	MFD09055.fa			
MFD09056	PRJNA1071982	SAMN39873115	SRX23709262	MFD09056.fa			
MFD09057	PRJNA1071982	SAMN39873116	SRX23709263	MFD09057.fa			
MFD09058	PRJNA1071982	SAMN39873117	SRX23709264	MFD09058.fa			
MFD09059	PRJNA1071982	SAMN39873118	SRX23709265	MFD09059.fa			
