sample_name	accession
MFD01693	SAMN39866617
MFD01694	SAMN39866618
MFD01695	SAMN39866619
MFD01696	SAMN39866620
MFD01698	SAMN39866621
MFD01699	SAMN39866622
MFD01700	SAMN39866623
MFD01701	SAMN39866624
MFD01702	SAMN39866625
MFD01703	SAMN39866626
MFD01704	SAMN39866627
MFD01705	SAMN39866628
MFD01706	SAMN39866629
MFD01707	SAMN39866630
MFD01708	SAMN39866631
MFD01709	SAMN39866632
MFD01710	SAMN39866633
MFD01711	SAMN39866634
MFD01712	SAMN39866635
MFD01713	SAMN39866636
MFD01714	SAMN39866637
MFD01715	SAMN39866638
MFD01716	SAMN39866639
MFD01717	SAMN39866640
MFD01718	SAMN39866641
MFD01719	SAMN39866642
MFD01720	SAMN39866643
MFD01721	SAMN39866644
MFD01722	SAMN39866645
MFD01723	SAMN39866646
MFD01725	SAMN39866647
MFD01726	SAMN39866648
MFD01727	SAMN39866649
MFD01728	SAMN39866650
MFD01729	SAMN39866651
MFD01730	SAMN39866652
MFD01731	SAMN39866653
MFD01732	SAMN39866654
MFD01733	SAMN39866655
MFD01734	SAMN39866656
MFD01735	SAMN39866657
MFD01736	SAMN39866658
MFD01737	SAMN39866659
MFD01738	SAMN39866660
MFD01739	SAMN39866661
MFD01740	SAMN39866662
MFD01741	SAMN39866663
MFD01742	SAMN39866664
MFD01743	SAMN39866665
MFD01744	SAMN39866666
MFD01745	SAMN39866667
MFD01746	SAMN39866668
MFD01747	SAMN39866669
MFD01748	SAMN39866670
MFD01749	SAMN39866671
MFD01750	SAMN39866672
MFD01751	SAMN39866673
MFD01752	SAMN39866674
MFD01753	SAMN39866675
MFD01754	SAMN39866676
MFD01755	SAMN39866677
MFD01756	SAMN39866678
MFD01757	SAMN39866679
MFD01758	SAMN39866680
MFD01759	SAMN39866681
MFD01760	SAMN39866682
MFD01761	SAMN39866683
MFD01762	SAMN39866684
MFD01763	SAMN39866685
MFD01764	SAMN39866686
MFD01765	SAMN39866687
MFD01766	SAMN39866688
MFD01767	SAMN39866689
MFD01768	SAMN39866690
MFD01769	SAMN39866691
MFD01770	SAMN39866692
MFD01771	SAMN39866693
MFD01772	SAMN39866694
MFD01773	SAMN39866695
MFD01774	SAMN39866696
MFD01775	SAMN39866697
MFD01776	SAMN39866698
MFD01777	SAMN39866699
MFD01778	SAMN39866700
MFD01779	SAMN39866701
MFD01780	SAMN39866702
MFD01781	SAMN39866703
MFD01782	SAMN39866704
MFD01783	SAMN39866705
MFD01784	SAMN39866706
MFD01785	SAMN39866707
MFD01786	SAMN39866708
MFD01787	SAMN39866709
MFD01788	SAMN39866710
MFD01789	SAMN39866711
MFD01790	SAMN39866712
MFD01791	SAMN39866713
MFD01792	SAMN39866714
MFD01793	SAMN39866715
MFD01794	SAMN39866716
MFD01796	SAMN39866717
MFD01797	SAMN39866718
MFD01798	SAMN39866719
MFD01799	SAMN39866720
MFD01800	SAMN39866721
MFD01801	SAMN39866722
MFD01802	SAMN39866723
MFD01803	SAMN39866724
MFD01804	SAMN39866725
MFD01805	SAMN39866726
MFD01806	SAMN39866727
MFD01807	SAMN39866728
MFD01808	SAMN39866729
MFD01809	SAMN39866730
MFD01810	SAMN39866731
MFD01811	SAMN39866732
MFD01812	SAMN39866733
MFD01814	SAMN39866734
MFD01815	SAMN39866735
MFD01816	SAMN39866736
MFD01817	SAMN39866737
MFD01818	SAMN39866738
MFD01820	SAMN39866739
MFD01821	SAMN39866740
MFD01822	SAMN39866741
MFD01823	SAMN39866742
MFD01824	SAMN39866743
MFD01825	SAMN39866744
MFD01826	SAMN39866745
MFD01827	SAMN39866746
MFD01828	SAMN39866747
MFD01829	SAMN39866748
MFD01830	SAMN39866749
MFD01831	SAMN39866750
MFD01832	SAMN39866751
MFD01833	SAMN39866752
MFD01834	SAMN39866753
MFD01835	SAMN39866754
MFD01836	SAMN39866755
MFD01837	SAMN39866756
MFD01838	SAMN39866757
MFD01839	SAMN39866758
MFD01840	SAMN39866759
MFD01841	SAMN39866760
MFD01842	SAMN39866761
MFD01843	SAMN39866762
MFD01844	SAMN39866763
MFD01845	SAMN39866764
MFD01846	SAMN39866765
MFD01847	SAMN39866766
MFD01848	SAMN39866767
MFD01849	SAMN39866768
MFD01850	SAMN39866769
MFD01851	SAMN39866770
MFD01852	SAMN39866771
MFD01853	SAMN39866772
MFD01854	SAMN39866773
MFD01855	SAMN39866774
MFD01856	SAMN39866775
MFD01857	SAMN39866776
MFD01858	SAMN39866777
MFD01859	SAMN39866778
MFD01860	SAMN39866779
MFD01861	SAMN39866780
MFD01862	SAMN39866781
MFD01863	SAMN39866782
MFD01864	SAMN39866783
MFD01865	SAMN39866784
MFD01866	SAMN39866785
MFD01867	SAMN39866786
MFD01869	SAMN39866787
MFD01870	SAMN39866788
MFD01871	SAMN39866789
MFD01872	SAMN39866790
MFD01873	SAMN39866791
MFD01874	SAMN39866792
MFD01875	SAMN39866793
MFD01876	SAMN39866794
MFD01877	SAMN39866795
MFD01878	SAMN39866796
MFD01879	SAMN39866797
MFD01880	SAMN39866798
MFD01881	SAMN39866799
MFD01882	SAMN39866800
MFD01883	SAMN39866801
MFD01884	SAMN39866802
MFD01885	SAMN39866803
MFD01886	SAMN39866804
MFD01887	SAMN39866805
MFD01888	SAMN39866806
MFD01889	SAMN39866807
MFD01890	SAMN39866808
MFD01891	SAMN39866809
MFD01892	SAMN39866810
MFD01893	SAMN39866811
MFD01894	SAMN39866812
MFD01895	SAMN39866813
MFD01896	SAMN39866814
MFD01897	SAMN39866815
MFD01898	SAMN39866816
MFD01899	SAMN39866817
MFD01900	SAMN39866818
MFD01901	SAMN39866819
MFD01902	SAMN39866820
MFD01903	SAMN39866821
MFD01904	SAMN39866822
MFD01905	SAMN39866823
MFD01906	SAMN39866824
MFD01907	SAMN39866825
MFD01908	SAMN39866826
MFD01909	SAMN39866827
MFD01910	SAMN39866828
MFD01911	SAMN39866829
MFD01912	SAMN39866830
MFD01913	SAMN39866831
MFD01914	SAMN39866832
MFD01915	SAMN39866833
MFD01916	SAMN39866834
MFD01917	SAMN39866835
MFD01918	SAMN39866836
MFD01919	SAMN39866837
MFD01920	SAMN39866838
MFD01921	SAMN39866839
MFD01922	SAMN39866840
MFD01923	SAMN39866841
MFD01924	SAMN39866842
MFD01925	SAMN39866843
MFD01926	SAMN39866844
MFD01927	SAMN39866845
